DATE,CATEGORIES,PAYMENT_MODE,DESCRIPTION,AMOUNTS,CASHBACK
2024-01-18,Travel,Paypal,Accommodation,8635.62,86.53
2024-01-13,Entertainment,Bank_transfer,Went to movies,9774.09,872.31
2024-01-19,Travel,Bank_transfer,Accommodation,7497.73,521.07
2024-01-13,Subscription,Debit_card,Amazon Prime,3715.84,310.69
2024-01-27,Entertainment,Credit_card,Tour,9705.74,810.7
2024-01-26,Utilities,Debit_card,Electricity bill,1300.17,42.74
2024-01-07,Utilities,Paytm,Electricity bill,3607.48,78.89
2024-01-16,Utilities,Gpay,Internet bill,3827.02,138.1
2024-01-03,Entertainment,Paytm,Went to movies,1010.99,24.41
2024-01-10,Rent,Cash,Monthly house rent,1505.01,112.58
2024-01-30,Travel,Bank_transfer,Accommodation,6407.04,362.16
2024-01-21,Groceries,Bank_transfer,Monthly groceries,4109.35,213.74
2024-01-14,Utilities,Paytm,Water bill,7710.0,241.28
2024-01-26,Utilities,Check,Electricity bill,4067.14,192.93
2024-01-02,Insurance,Check,Car,1572.35,22.01
2024-01-28,Travel,Credit_card,Transportation,9775.11,930.1
2024-01-02,Utilities,Gpay,Internet bill,5848.32,276.14
2024-01-16,Groceries,Check,Monthly groceries,3743.06,28.76
2024-01-18,Entertainment,Cash,Went to movies,1446.72,113.88
2024-01-29,Entertainment,Gpay,Went to movies,1481.58,131.94
2024-01-29,Rent,Debit_card,Monthly house rent,6853.17,434.35
2024-01-23,Subscription,Paytm,Netflix,6409.99,317.84
2024-01-18,Entertainment,Paypal,Went to movies,3620.52,51.94
2024-01-19,Subscription,Bank_transfer,Netflix,3556.74,75.39
2024-01-10,Subscription,Visa,Netflix,9467.12,95.34
2024-01-05,Entertainment,Visa,Day off,3422.07,102.9
2024-01-26,Utilities,Paytm,Water bill,1756.9,30.82
2024-01-23,Groceries,Paytm,Monthly groceries,2223.32,12.44
2024-01-15,Entertainment,Cash,Tour,8575.98,679.02
2024-01-14,Groceries,Check,Monthly groceries,2303.47,197.87
2024-01-26,Groceries,Visa,Monthly groceries,6100.31,426.76
2024-01-03,Subscription,Debit_card,Amazon Prime,2319.3,148.89
2024-01-28,Rent,Credit_card,Monthly house rent,6628.09,261.15
2024-01-18,Rent,Debit_card,Monthly house rent,9832.65,308.67
2024-01-09,Groceries,Cash,Monthly groceries,4695.21,395.77
2024-01-02,Utilities,Paypal,Internet bill,1367.99,114.99
2024-01-27,Utilities,Credit_card,Water bill,2143.16,118.07
2024-01-20,Groceries,Gpay,Monthly groceries,3846.92,336.08
2024-01-29,Insurance,Credit_card,Car,8440.3,548.31
2024-01-09,Rent,Debit_card,Monthly house rent,8442.0,341.43
2024-01-07,Insurance,Cash,Car,9582.39,19.84
2024-01-03,Travel,Paytm,Transportation,1190.66,18.02
2024-01-10,Utilities,Gpay,Water bill,5835.97,17.43
2024-01-18,Travel,Paytm,Accommodation,8879.13,439.61
2024-01-22,Utilities,Paypal,Internet bill,8177.13,427.27
2024-01-16,Subscription,Cash,Netflix,5656.36,494.88
2024-01-16,Rent,Credit_card,Monthly house rent,8848.49,161.92
2024-01-19,Subscription,Cash,Amazon Prime,3951.2,340.62
2024-01-17,Groceries,Paypal,Monthly groceries,4484.64,345.34
2024-01-25,Entertainment,Visa,Went to movies,1391.57,58.85
2024-01-22,Subscription,Debit_card,Amazon Prime,1283.8,27.85
2024-01-12,Insurance,Visa,Car,2256.38,89.89
2024-01-01,Travel,Check,Flights,3877.17,0.23
2024-01-29,Groceries,Gpay,Monthly groceries,3754.61,225.47
2024-01-11,Utilities,Gpay,Internet bill,6782.11,300.92
2024-01-06,Entertainment,Gpay,Day off,7868.13,361.14
2024-01-05,Groceries,Check,Monthly groceries,8246.53,334.89
2024-01-05,Rent,Check,Monthly house rent,2824.2,4.95
2024-01-09,Utilities,Cash,Internet bill,4999.01,111.73
2024-01-10,Rent,Gpay,Monthly house rent,6197.61,91.79
2024-01-08,Insurance,Bank_transfer,Car,8361.34,223.25
2024-01-23,Subscription,Check,Amazon Prime,7592.51,354.93
2024-01-11,Subscription,Bank_transfer,Netflix,5157.44,217.7
2024-01-02,Subscription,Paypal,Amazon Prime,2520.35,31.23
2024-01-27,Insurance,Gpay,Car,8238.99,350.45
2024-01-10,Insurance,Cash,Life,1490.77,25.27
2024-01-20,Groceries,Check,Monthly groceries,6267.6,30.25
2024-01-27,Rent,Paypal,Monthly house rent,3982.68,276.53
2024-01-17,Groceries,Check,Monthly groceries,5878.09,187.31
2024-01-10,Subscription,Debit_card,Netflix,2574.22,187.41
2024-01-24,Insurance,Visa,Car,8178.63,305.73
2024-01-02,Groceries,Check,Monthly groceries,9042.19,410.41
2024-01-15,Utilities,Gpay,Electricity bill,7446.34,516.49
2024-01-20,Utilities,Cash,Electricity bill,5291.78,174.8
2024-01-24,Entertainment,Credit_card,Tour,4197.85,240.71
2024-01-07,Entertainment,Bank_transfer,Tour,1374.64,10.7
2024-01-26,Travel,Credit_card,Accommodation,1766.67,72.43
2024-01-25,Entertainment,Debit_card,Tour,1532.97,138.37
2024-01-08,Subscription,Credit_card,Netflix,8705.0,3.48
2024-01-21,Rent,Paypal,Monthly house rent,7030.26,330.62
2024-01-30,Entertainment,Check,Went to movies,9144.97,134.13
2024-01-19,Entertainment,Bank_transfer,Went to movies,3777.75,132.5
2024-01-21,Insurance,Paytm,Car,7768.29,470.34
2024-01-23,Groceries,Credit_card,Monthly groceries,7386.2,497.19
2024-01-04,Entertainment,Paytm,Day off,4552.45,403.05
2024-01-14,Groceries,Cash,Monthly groceries,3147.77,144.07
2024-01-28,Travel,Cash,Flights,3984.75,198.19
2024-01-05,Groceries,Bank_transfer,Monthly groceries,5730.55,531.48
2024-01-09,Utilities,Debit_card,Internet bill,9213.52,804.35
2024-01-12,Entertainment,Visa,Day off,9598.51,588.82
2024-01-12,Insurance,Paypal,Car,8751.41,823.73
2024-01-18,Entertainment,Cash,Tour,4825.95,221.22
2024-01-19,Utilities,Paytm,Electricity bill,4451.82,140.3
2024-01-17,Insurance,Paypal,Life,5629.5,218.75
2024-01-04,Insurance,Check,Life,3543.84,14.17
2024-01-10,Groceries,Check,Monthly groceries,6823.93,473.77
2024-01-18,Groceries,Paypal,Monthly groceries,3625.0,115.79
2024-01-22,Insurance,Debit_card,Car,7245.88,420.27
2024-01-30,Subscription,Debit_card,Amazon Prime,9787.37,665.46
2024-01-05,Groceries,Paytm,Monthly groceries,1939.01,143.87
2024-01-28,Insurance,Cash,Life,6254.86,575.2
2024-01-20,Entertainment,Paypal,Tour,7245.21,274.58
2024-01-13,Subscription,Gpay,Amazon Prime,1059.67,38.17
2024-01-24,Groceries,Check,Monthly groceries,8956.81,449.68
2024-01-10,Utilities,Visa,Electricity bill,5868.28,194.53
2024-01-16,Rent,Paypal,Monthly house rent,1595.95,101.73
2024-01-27,Travel,Credit_card,Accommodation,7431.08,251.94
2024-01-25,Insurance,Visa,Life,6141.11,84.76
2024-01-30,Rent,Debit_card,Monthly house rent,1688.11,20.82
2024-01-01,Rent,Debit_card,Monthly house rent,5167.26,515.15
2024-01-26,Insurance,Debit_card,Car,4681.29,194.94
2024-01-12,Rent,Cash,Monthly house rent,5500.86,43.49
2024-01-08,Insurance,Cash,Car,6189.71,293.64
2024-01-25,Entertainment,Gpay,Day off,5455.98,109.01
2024-01-20,Utilities,Visa,Water bill,8385.07,381.56
2024-01-10,Rent,Paypal,Monthly house rent,3139.24,291.92
2024-01-30,Subscription,Paypal,Netflix,2181.68,102.1
2024-01-06,Groceries,Cash,Monthly groceries,1947.38,122.03
2024-01-17,Utilities,Gpay,Electricity bill,5970.21,124.8
2024-01-02,Groceries,Cash,Monthly groceries,6472.23,494.51
2024-01-26,Travel,Debit_card,Transportation,9925.66,525.69
2024-01-06,Rent,Debit_card,Monthly house rent,1961.87,68.41
2024-01-10,Rent,Check,Monthly house rent,4854.13,201.24
2024-01-30,Insurance,Gpay,Life,9895.86,538.54
2024-01-23,Travel,Check,Accommodation,7124.84,306.33
2024-01-20,Utilities,Check,Internet bill,9248.72,624.28
2024-01-23,Travel,Cash,Flights,1606.36,26.52
2024-01-17,Rent,Gpay,Monthly house rent,9320.14,130.44
2024-01-29,Groceries,Bank_transfer,Monthly groceries,1811.32,118.2
2024-01-29,Subscription,Paytm,Netflix,1186.6,112.78
